TicketID,Airline,FlightNum,RewardsID,Price
HA7837338,HA,HA4863,UA28861,173.47446597225624
HA3625292,HA,HA4863,AA94764,131.6630581743526
HA8291223,HA,HA4863,DL62256,86.33121202975641
HA2826907,HA,HA4863,AA17228,179.74900155181388
HA4334123,HA,HA4863,DL41335,219.9454733616702
HA8076710,HA,HA4863,UA40840,220.91559102191212
HA1014074,HA,HA4863,AS52029,230.48332333117943
HA1883938,HA,HA4863,UA33935,248.6339712105832
HA8264188,HA,HA4863,AS54783,230.41661399571348
HA1082196,HA,HA4863,AS10984,106.80346289456794
HA7709206,HA,HA4863,DL47474,114.16141221084719
HA1145857,HA,HA4863,AS35918,182.96808264067178
HA8193178,HA,HA4863,AA51006,173.6727382725946
HA8230574,HA,HA4863,SW65582,130.49403163531736
HA7228142,HA,HA4863,SW93916,146.64725814436483
HA3186350,HA,HA4863,SW67481,151.99215843860907
HA2566121,HA,HA4863,AS44809,244.63295565131273
HA2211141,HA,HA4863,UA62516,74.75090465590407
HA1901045,HA,HA4863,AS52351,226.06626068021117
HA3344713,HA,HA4863,UA30354,227.03188504340673
HA4856558,HA,HA4863,SW86791,96.8126951951398
HA8310112,HA,HA4863,AS27645,121.33871112121533
HA7235103,HA,HA4863,AS38767,103.60702502894854
HA7317131,HA,HA4863,UA98020,52.7982514815442
HA3852483,HA,HA4863,SW75458,77.54947110612986
HA6593578,HA,HA4863,UA50670,64.72813636279182
HA1348254,HA,HA4863,DL39537,221.22866599162484
HA9801940,HA,HA4863,DL31238,75.879160828379
HA7993428,HA,HA4863,DL70240,163.89353243017186
HA4903624,HA,HA4863,AS76264,110.55656712071702
HA2206380,HA,HA4863,UA10811,79.58582734077066
HA2252892,HA,HA4863,UA21568,224.59519284828156
HA6603106,HA,HA4863,HA73263,110.81523814959486
HA1051502,HA,HA4863,DL20368,226.18227002654058
HA1051117,HA,HA4863,AA68709,139.94416247999766
HA7794602,HA,HA4863,UA16019,245.18643286856107
HA5306006,HA,HA4863,HA14568,150.15711844251683
HA4730019,HA,HA4863,SW52466,231.09396829086785
HA3996336,HA,HA4863,AS26771,118.60497721454597
HA1286083,HA,HA4863,UA60462,128.74412254303465
HA1300053,HA,HA4863,SW71893,51.76283107180786
HA3079365,HA,HA4863,AA18095,59.319975428454
HA6521988,HA,HA4863,AA78892,227.75876977812567
HA9665033,HA,HA4863,HA67329,225.61538532642615
HA9953796,HA,HA4863,AA37137,229.51785695036585
HA1496082,HA,HA4863,SW77549,191.7056519749844
HA9419633,HA,HA4863,DL30266,83.02749249803034
HA6569675,HA,HA4863,HA78427,136.34255217011477
HA5267440,HA,HA4863,DL99896,172.19787623436793
